id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,zipcode
781112768660100288,MINNeSTAY* Beard Avenue Bungalow | 50th & France,24051954,Minnestay,,Hennepin,44.91211,-93.3244,Entire home/apt,211,1,0,,,91,363,0,Twin Cities MSA,55410.0
821796881506617075,Make Your Trip More Enjoyable! Near Peavey Plaza,496944100,RoomPicks,,Hennepin,44.97519660017574,-93.27720284477572,Entire home/apt,236,1,0,,,36,294,0,Twin Cities MSA,55402.0
50445035,Four Star Beachfront Hotel 2BR Suite,407555500,Pratish,,Fort Lauderdale,26.12971,-80.10486,Private room,720,5,11,2023-03-18,0.54,1,338,5,Broward County,33304.0
737720203695506889,Hyde Beach House Luxury Apartment,32573006,Roberto,,Hollywood,25.9870383,-80.1206413,Entire home/apt,351,2,1,2023-02-24,0.91,6,327,1,Broward County,33009.0
54259906,not boring house where you are always welcome,226583034,Dari,,Hallandale Beach,25.97663,-80.1555,Private room,90,1,2,2023-03-21,0.15,1,365,1,Broward County,33009.0
15858556,5 minutes shopping to sawgrass mall/BBT,29212764,Carry,,Sunrise,26.16612,-80.29999,Entire home/apt,200,2,229,2023-03-26,3.01,1,352,36,Broward County,33323.0
745614557385659923,"""MIA Getaway!"" 4BR 2100Sqft in Fort Lauderdale",109545976,Philip,,Fort Lauderdale,26.2092,-80.11848,Entire home/apt,310,5,4,2023-02-27,0.98,11,348,4,Broward County,33308.0
40655486,Chic miami unit in prime location,32802656,Alex,,Hallandale Beach,25.98538,-80.11979,Entire home/apt,160,5,2,2023-01-27,0.15,2,343,1,Broward County,33009.0
51553379,Infinite View Balcony| Pool + Gym + Near Beach,174780501,Stay Sol,,Hallandale Beach,25.9869,-80.1226,Entire home/apt,255,4,1,2022-01-02,0.07,111,325,0,Broward County,33009.0
51883224,Modern open concept studio apt in Hollywood,46414779,Jennifer,,Hollywood,26.0176,-80.15206,Entire home/apt,90,2,45,2023-03-20,2.38,5,169,30,Broward County,33020.0
54294752,1B Private Residence at Hyde Resort & Residences,400336832,Clean Address,,Hollywood,25.986807,-80.118652,Entire home/apt,295,3,5,2023-02-07,0.42,1,202,5,Broward County,33019.0
53517768,🏝Beautiful 4 Bedroom/Pool/Walk to beach,246064862,David,,Deerfield Beach,26.31158,-80.08213,Entire home/apt,368,3,32,2023-03-13,2.1,4,295,21,Broward County,33441.0
52287590,EUROPEAN OASIS 10 MINUTE WALK TO BEACH W/ HOT TUB,385863920,Sara,,Hollywood,26.01069,-80.12481,Entire home/apt,400,3,10,2023-03-19,0.73,2,89,7,Broward County,33019.0
844926403800688796,Unwind after a day at beach,504905489,Alberto,,Fort Lauderdale,26.14824,-80.15026,Entire home/apt,157,1,0,,,1,349,0,Broward County,33311.0
615993376350068280,One Bedroom Condo with Ocean view.,2956400,Angela,,Hollywood,25.99367,-80.11864,Entire home/apt,120,29,1,2023-03-01,1.0,1,331,1,Broward County,33019.0
5794057,2BD/2BA - Beautiful Beach Condo!,29960617,Daisy,,Hollywood,25.98695,-80.11935,Entire home/apt,250,2,56,2023-03-25,0.61,1,322,16,Broward County,33019.0
